,Latitude,Longitude,WnvPresent
0,41.95469,-87.800991,0
1,41.95469,-87.800991,0
2,41.994991,-87.769279,0
3,41.974089,-87.824812,0
4,41.974089,-87.824812,0
5,41.9216,-87.666455,0
6,41.891118,-87.65449100000001,0
7,41.867108,-87.654224,0
8,41.867108,-87.654224,0
9,41.896282,-87.655232,0
10,41.919343,-87.694259,0
11,41.921965,-87.632085,0
12,41.921965,-87.632085,0
13,41.688324,-87.676709,0
14,41.688324,-87.676709,0
15,41.862292,-87.64886,0
16,41.720848,-87.666014,0
17,41.731922,-87.677512,0
18,41.731922,-87.677512,0
19,41.891126,-87.61156,0
20,41.891126,-87.61156,0
21,41.999128999999996,-87.795585,0
22,42.01743,-87.68776899999999,0
23,41.907645,-87.760886,0
24,41.732984,-87.649642,0
25,41.95469,-87.800991,0
26,41.95469,-87.800991,0
27,41.95469,-87.800991,0
28,41.974089,-87.824812,0
29,41.974089,-87.824812,0
30,41.9216,-87.666455,0
31,41.9216,-87.666455,0
32,41.9216,-87.666455,0
33,41.891118,-87.65449100000001,0
34,41.867108,-87.654224,0
35,41.867108,-87.654224,0
36,41.867108,-87.654224,0
37,41.896282,-87.655232,0
38,41.919343,-87.694259,0
39,41.919343,-87.694259,0
40,41.921965,-87.632085,0
41,41.688324,-87.676709,0
42,41.720848,-87.666014,0
43,41.731922,-87.677512,0
44,41.731922,-87.677512,0
45,41.731922,-87.677512,0
46,41.999128999999996,-87.795585,0
47,41.999128999999996,-87.795585,0
48,41.907645,-87.760886,0
49,41.732984,-87.649642,0
50,41.981964000000005,-87.812827,0
51,41.944869,-87.832763,0
52,42.011601,-87.81150600000001,0
53,41.94983,-87.69845699999999,0
54,41.979243,-87.750938,0
55,41.986921,-87.689778,0
56,41.801497999999995,-87.763416,0
57,41.906638,-87.701431,0
58,41.723195000000004,-87.64997,0
59,41.868077,-87.666901,0
60,41.868077,-87.666901,0
61,41.869215999999994,-87.627561,0
62,41.662014,-87.72460799999999,0
63,41.662014,-87.72460799999999,0
64,41.662014,-87.72460799999999,0
65,41.961743,-87.76007,0
66,41.961743,-87.76007,0
67,41.953067,-87.776792,0
68,41.953067,-87.776792,0
69,41.878114000000004,-87.629798,0
70,41.958271,-87.702575,0
71,41.958271,-87.702575,0
72,41.932094,-87.700117,0
73,41.994469,-87.667736,0
74,42.006858,-87.675919,0
75,41.916265,-87.800515,0
76,41.916265,-87.800515,0
77,41.846075,-87.716277,0
78,41.918704999999996,-87.752329,0
79,41.682587,-87.707973,0
80,41.682587,-87.707973,0
81,41.725516999999996,-87.61425799999999,0
82,41.948167,-87.730698,0
83,41.948167,-87.730698,0
84,41.963976,-87.69181,0
85,41.95469,-87.800991,0
86,41.95469,-87.800991,0
87,41.95469,-87.800991,0
88,41.994991,-87.769279,0
89,41.994991,-87.769279,0
90,41.974089,-87.824812,0
91,41.9216,-87.666455,0
92,41.9216,-87.666455,0
93,41.891118,-87.65449100000001,0
94,41.891118,-87.65449100000001,0
95,41.867108,-87.654224,0
96,41.896282,-87.655232,0
97,41.919343,-87.694259,0
98,41.688324,-87.676709,0
99,41.688324,-87.676709,0
100,41.688324,-87.676709,0
101,41.731922,-87.677512,0
102,41.891126,-87.61156,0
103,41.891126,-87.61156,0
104,41.999128999999996,-87.795585,0
105,41.999128999999996,-87.795585,0
106,42.01743,-87.68776899999999,0
107,42.01743,-87.68776899999999,0
108,41.944869,-87.832763,0
109,41.944869,-87.832763,0
110,42.011601,-87.81150600000001,0
111,42.011601,-87.81150600000001,0
112,41.94983,-87.69845699999999,0
113,41.979243,-87.750938,0
114,41.986921,-87.689778,0
115,41.986921,-87.689778,0
116,41.906638,-87.701431,0
117,41.906638,-87.701431,0
118,41.868077,-87.666901,0
119,41.868077,-87.666901,0
120,41.868077,-87.666901,0
121,41.662014,-87.72460799999999,0
122,41.662014,-87.72460799999999,0
123,41.662014,-87.72460799999999,0
124,41.961743,-87.76007,0
125,41.961743,-87.76007,0
126,41.953067,-87.776792,0
127,41.878114000000004,-87.629798,0
128,41.958271,-87.702575,0
129,41.932094,-87.700117,0
130,42.006858,-87.675919,0
131,41.916265,-87.800515,0
132,41.916265,-87.800515,0
133,41.682587,-87.707973,0
134,41.682587,-87.707973,0
135,41.963976,-87.69181,0
136,41.953705,-87.733974,0
137,41.964242,-87.757639,0
138,41.990284,-87.797127,0
139,41.990284,-87.797127,0
140,42.008314,-87.77792099999999,0
141,41.991429,-87.747113,0
142,41.843810999999995,-87.686763,0
143,41.921177,-87.79518,0
144,41.852652,-87.719887,0
145,41.852652,-87.719887,0
146,41.857402,-87.694991,0
147,41.868142,-87.696269,0
148,41.868142,-87.696269,0
149,41.846283,-87.656913,0
150,41.721474,-87.648064,0
151,41.869107,-87.69629300000001,0
152,41.719059,-87.675088,0
153,41.719059,-87.675088,0
154,41.966986999999996,-87.674677,0
155,41.95469,-87.800991,0
156,41.974089,-87.824812,0
157,41.974089,-87.824812,0
158,41.891118,-87.65449100000001,0
159,41.921965,-87.632085,0
160,41.688324,-87.676709,0
161,41.688324,-87.676709,0
162,41.862292,-87.64886,0
163,41.731922,-87.677512,0
164,41.999128999999996,-87.795585,0
165,42.01743,-87.68776899999999,0
166,42.01743,-87.68776899999999,0
167,41.907645,-87.760886,0
168,42.011601,-87.81150600000001,0
169,41.986921,-87.689778,0
170,41.986921,-87.689778,0
171,41.801497999999995,-87.763416,0
172,41.723195000000004,-87.64997,0
173,41.868077,-87.666901,0
174,41.868077,-87.666901,0
175,41.868077,-87.666901,0
176,41.662014,-87.72460799999999,0
177,41.961743,-87.76007,0
178,41.953067,-87.776792,0
179,41.878114000000004,-87.629798,0
180,41.958271,-87.702575,0
181,42.006858,-87.675919,0
182,41.916265,-87.800515,0
183,41.916265,-87.800515,0
184,41.682587,-87.707973,0
185,41.948167,-87.730698,0
186,41.990284,-87.797127,0
187,41.991429,-87.747113,0
188,41.857402,-87.694991,0
189,41.857402,-87.694991,0
190,41.721474,-87.648064,0
191,41.721474,-87.648064,0
192,41.923738,-87.785288,0
193,41.970248,-87.787992,0
194,42.010412,-87.66214000000001,0
195,41.899229999999996,-87.716788,0
196,41.899229999999996,-87.716788,0
